year,ahe,bachelor,female,age
1996,11.17173481,0,0,31
1996,8.653845787,0,1,31
1996,9.615385056,1,1,27
1996,11.21794891,1,0,26
1996,9.615385056,1,1,28
1996,14.42307663,1,0,32
1996,14.79289913,0,1,30
1996,25,1,0,31
1996,15.89230728,0,0,31
1996,9.130208015,0,1,25
1996,9.615385056,1,0,32
1996,7.758974552,0,0,33
1996,12.93706322,1,0,26
1996,20.60439491,1,0,27
1996,8.856275558,0,0,29
1996,7.005494595,0,1,32
1996,5.050505161,0,0,34
1996,12.01923084,0,0,25
1996,12.01923084,0,0,32
1996,13.94230747,1,1,30
1996,11.53846169,0,0,32
1996,11.05769253,0,1,26
1996,8.974358559,1,1,27
1996,6.993007183,0,0,29
1996,13.00920582,0,0,28
1996,9,0,1,25
1996,14.90384579,1,0,30
1996,10.64903831,1,1,27
1996,15.0427351,0,0,28
1996,10.33653831,0,1,28
1996,12.01923084,1,0,30
1996,12.39316273,0,0,29
1996,4.423077106,0,1,25
1996,8.014705658,0,0,27
1996,9.02014637,0,1,28
1996,12.00769234,1,0,26
1996,40.86538315,1,1,31
1996,14.42307663,1,1,34
1996,11.53846169,0,0,30
1996,10.09615421,1,1,29
1996,10.65088749,1,0,26
1996,16.82692337,1,0,27
1996,5.288461685,0,0,30
1996,13.24786282,1,0,29
1996,15.73365402,0,0,28
1996,11.79038429,0,1,28
1996,8.653845787,0,1,25
1996,8.241758347,0,0,27
1996,15.38461494,0,0,32
1996,8.25,1,1,25
1996,10.61105728,0,1,33
1996,16.82692337,0,0,28
1996,7.468999863,0,0,28
1996,13.46153831,0,1,34
1996,11.21794891,0,0,30
1996,4.567307472,0,0,28
1996,22.3776226,1,0,34
1996,16.82692337,0,0,32
1996,9.340659142,0,1,25
1996,12.98076916,0,0,32
1996,18,0,0,34
1996,5.22307682,0,0,34
1996,6.730769157,0,0,30
1996,8.17307663,0,1,27
1996,8.653845787,1,1,25
1996,7.038461685,0,0,33
1996,5.769230843,0,1,29
1996,13.80670643,0,1,32
1996,12.35042763,1,0,33
1996,13.22115421,1,1,32
1996,8.75,0,0,27
1996,10.43956089,1,0,33
1996,8.547008514,0,0,26
1996,6.971153736,0,0,29
1996,6.983805656,1,1,31
1996,10.57692337,0,1,29
1996,13.94230747,0,0,30
1996,9.615385056,0,0,34
1996,21.63461494,1,0,25
1996,7.679487228,1,0,27
1996,26.44230843,0,0,31
1996,28.84615326,1,1,30
1996,10.38461494,1,1,32
1996,17.30769157,1,1,29
1996,17.10705185,0,0,29
1996,14.42307663,0,0,33
1996,9.615385056,0,0,34
1996,5,1,0,30
1996,10,0,0,31
1996,15.38461494,1,0,29
1996,15.86538506,1,1,28
1996,18.84615326,1,0,25
1996,14.90384579,0,1,32
1996,19.80769157,1,0,31
1996,9.216345787,0,1,29
1996,10.90480804,1,0,32
1996,6.25,1,1,30
1996,13.90532589,1,0,30
1996,7.692307472,1,1,26
1996,11.29807663,0,1,30
1996,17.94871712,1,0,32
1996,15.38461494,0,0,34
1996,21.63461494,1,1,30
1996,10.57692337,0,1,32
1996,12.99376297,1,1,25
1996,22.39999962,1,0,30
1996,5.884615421,0,1,31
1996,8.653845787,0,1,33
1996,18.26922989,0,1,32
1996,12.5,0,1,34
1996,10.68376064,0,0,25
1996,9.401709557,0,1,30
1996,12.5,0,0,30
1996,11.73076916,0,0,26
1996,14.80769253,1,1,27
1996,12.01923084,0,0,28
1996,14.10256386,0,0,34
1996,9.615385056,1,0,25
1996,15.86538506,0,0,31
1996,11.53846169,1,1,27
1996,10.36057663,0,0,31
1996,4.807692528,0,1,31
1996,11.96581173,0,0,32
1996,14.17004013,1,1,29
1996,18.02884674,0,0,28
1996,10.09615421,0,0,27
1996,6,0,0,30
1996,10.70804214,0,0,34
1996,23.67346954,1,0,32
1996,9.615385056,1,1,32
1996,22.26345062,1,0,32
1996,36.28117752,1,1,33
1996,11.5,1,0,28
1996,8.571428299,1,1,26
1996,12.39316273,0,1,31
1996,14.42307663,1,0,29
1996,12.01923084,1,0,25
1996,16.82692337,1,1,25
1996,12.01923084,1,1,31
1996,13.46153831,1,0,30
1996,14.23076916,1,1,26
1996,42.30769348,1,0,33
1996,8.489010811,0,0,32
1996,13.24786282,0,0,29
1996,8.20512867,1,0,27
1996,4.567307472,0,1,26
1996,8.875740051,1,1,33
1996,11.53846169,1,0,34
1996,25.26250076,1,0,33
1996,5.288461685,0,0,32
1996,11.53846169,0,0,25
1996,10.87912083,0,0,29
1996,9.615385056,0,0,26
1996,9.134614944,0,0,33
1996,15.34615421,0,0,29
1996,8.17307663,0,1,29
1996,7.932692528,0,1,33
1996,6.974696159,0,0,28
1996,13.46153831,0,0,26
1996,6.625961304,0,0,31
1996,7.692307472,0,1,27
1996,12.01923084,0,0,30
1996,14.70288467,0,0,30
1996,14.70288467,0,0,33
1996,8.489583015,0,0,27
1996,12.01923084,1,0,30
1996,7.692307472,0,1,30
1996,10.2564106,0,0,33
1996,7.142857075,0,1,29
1996,16.15673065,0,1,34
1996,10.17843151,0,0,34
1996,16.82692337,1,0,30
1996,1.484230757,0,0,34
1996,9.838997841,1,1,29
1996,6.25,0,0,34
1996,7.142857075,0,0,31
1996,15.38461494,0,0,34
1996,7.211538315,0,1,27
1996,4.5,0,1,32
1996,26.44230843,0,0,28
1996,14.85384655,0,0,32
1996,10.57692337,0,0,30
1996,14.42307663,1,1,31
1996,1.368421078,1,0,30
1996,7.8125,1,1,25
1996,8.07692337,0,0,34
1996,5.222222328,0,0,30
1996,10.57692337,1,1,25
1996,18.26922989,0,0,29
1996,19.23077011,1,0,32
1996,25,0,1,27
1996,27.88461494,0,0,31
1996,21.66666603,0,0,31
1996,22.22222137,1,0,33
1996,11.53846169,0,0,34
1996,12.99376297,1,1,27
1996,12.98076916,0,0,32
1996,14.42307663,0,0,28
1996,10.57692337,0,1,25
1996,15.76923084,1,0,27
1996,9.750480652,0,0,25
1996,21.15384674,1,1,28
1996,15.38461494,1,1,29
1996,21.15384674,1,1,33
1996,11.53846169,0,0,30
1996,3.846153736,0,0,28
1996,16.34615326,0,0,31
1996,15.83333302,0,0,29
1996,24.27884674,1,1,29
1996,11.15384579,1,0,25
1996,8.547008514,0,1,26
1996,13.94230747,0,0,33
1996,19.23077011,0,0,30
1996,11,0,0,26
1996,12.01923084,1,0,32
1996,12.69230747,1,0,33
1996,11.11111069,1,0,30
1996,9.25,0,1,28
1996,13.2470417,1,1,34
1996,11.25,1,0,27
1996,23.55769157,1,1,28
1996,17,0,0,30
1996,6,0,0,27
1996,12.01923084,0,1,30
1996,19.23077011,1,0,29
1996,19.23077011,1,1,30
1996,16.66666603,1,0,26
1996,33.36249924,0,0,33
1996,19.23077011,1,0,33
1996,8.653845787,0,1,27
1996,7.142857075,0,0,31
1996,17.69230843,1,0,32
1996,22.22222137,1,0,27
1996,16.82692337,0,1,29
1996,15.86538506,0,1,33
1996,7.692307472,0,1,34
1996,18.75,1,1,29
1996,31.25,1,0,30
1996,11.05769253,0,1,25
1996,8.241758347,0,1,26
1996,10.67307663,0,0,29
1996,3.932692289,0,0,26
1996,8.653845787,1,1,28
1996,14.42307663,0,0,30
1996,14.42307663,0,0,26
1996,11.15384579,0,1,30
1996,6.708407879,0,1,28
1996,9.026687622,0,0,34
1996,11.48541641,1,0,26
1996,11.92307663,0,0,30
1996,21.15384674,1,0,28
1996,9.615385056,0,1,25
1996,15.38461494,1,1,26
1996,15.67346191,1,0,27
1996,14.42307663,0,0,30
1996,15.38461494,0,0,31
1996,17.62820435,1,0,26
1996,24.03846169,1,1,29
1996,17.30769157,1,1,29
1996,20.67307663,1,0,33
1996,12.01923084,0,0,29
1996,21.15384674,1,0,25
1996,15.81196594,1,1,27
1996,19.71153831,1,0,26
1996,5.288461685,0,1,33
1996,14.28571415,0,0,31
1996,7.142857075,1,1,32
1996,24.4755249,0,0,34
1996,24.03846169,1,1,32
1996,18.22916603,1,1,29
1996,12.74038506,1,1,26
1996,9.855769157,1,1,27
1996,13.67521381,0,0,28
1996,5.048077106,1,1,30
1996,17.375,1,1,34
1996,8.653845787,1,1,30
1996,10.5,0,0,33
1996,7.615384579,1,0,25
1996,12.23776245,1,1,31
1996,12.23776245,1,1,26
1996,18.46153831,1,0,27
1996,10.57692337,1,1,32
1996,12.23076916,1,0,32
1996,11.53846169,1,1,27
1996,11.92307663,1,0,30
1996,19.6581192,1,1,29
1996,6.944444656,0,1,25
1996,11.1336031,0,1,30
1996,24.78632545,1,0,30
1996,19.23077011,1,0,32
1996,17.8571434,1,0,27
1996,16.34615326,1,1,28
1996,13.46153831,0,0,28
1996,9.42307663,0,1,25
1996,20.67307663,1,0,26
1996,5.917159557,1,1,30
1996,30.84935951,1,1,33
1996,8.17307663,1,1,26
1996,17.88461494,0,1,28
1996,24.03846169,1,0,33
1996,18,0,0,31
1996,9.615385056,0,1,28
1996,8.653845787,0,0,29
1996,11.25,0,0,27
1996,4.807692528,0,0,32
1996,15,0,1,28
1996,22.59615326,1,0,29
1996,20.76922989,0,0,33
1996,17.94871712,1,0,30
1996,13.82211494,1,0,34
1996,34.61538315,1,0,32
1996,25.76922989,1,0,32
1996,12.69278812,1,1,26
1996,21.79487228,1,0,33
1996,6.002083302,0,0,33
1996,8.389230728,1,1,28
1996,14.61634636,1,0,33
1996,12.27136707,1,1,30
1996,10.2197113,1,0,29
1996,6.011057854,0,1,30
1996,15.28846169,1,0,34
1996,5.384615421,1,0,34
1996,10.57692337,1,1,26
1996,17.30769157,1,1,26
1996,17.30769157,1,1,26
1996,12.5,1,0,25
1996,17.5,1,1,26
1996,21.63461494,1,0,32
1996,10.57692337,1,1,26
1996,10.09615421,1,1,25
1996,13.02083302,1,0,26
1996,14.13461494,0,0,30
1996,13.46153831,0,0,30
1996,38.46154022,1,0,32
1996,16.82692337,0,0,28
1996,14.65201473,1,0,25
1996,18.99038506,0,0,25
1996,13.46153831,0,0,30
1996,13.46153831,0,1,33
1996,10,0,0,28
1996,8.547008514,0,0,30
1996,9.829059601,0,1,27
1996,15.86538506,1,0,30
1996,9.63942337,0,0,34
1996,14.42307663,0,0,26
1996,14.42307663,0,0,27
1996,12.01923084,0,0,34
1996,5,0,1,32
1996,7.692307472,0,1,33
1996,36.05769348,1,1,32
1996,9.615385056,0,1,31
1996,7.211538315,0,0,32
1996,10,0,1,34
1996,8.990385056,0,0,28
1996,8.25,0,1,27
1996,8.5,0,0,26
1996,8.653845787,0,1,25
1996,13.64087296,1,0,31
1996,17.30769157,1,0,28
1996,12.5,0,0,30
1996,13.67521381,0,0,27
1996,6.25,0,0,30
1996,26.48557663,0,0,28
1996,9.8039217,1,0,28
1996,9.175824165,0,1,34
1996,15.76923084,0,0,32
1996,15.73426533,1,0,26
1996,8,0,0,26
1996,12.69230747,1,1,29
1996,14.5211935,1,0,32
1996,14.42307663,1,1,30
1996,12.98076916,0,0,27
1996,15.38461494,1,1,31
1996,8.391608238,0,0,32
1996,13.11188793,0,0,31
1996,8.653845787,1,1,33
1996,20.7489872,0,1,33
1996,14.80769253,1,0,30
1996,9.829059601,0,1,34
1996,5.788846016,0,0,29
1996,14.9572649,0,0,32
1996,13.94230747,0,1,34
1996,24.03846169,1,0,33
1996,9.903845787,1,1,26
1996,8.666666985,0,0,33
1996,9.134614944,0,0,28
1996,11.53846169,0,1,28
1996,12.01923084,0,0,29
1996,11.25,0,0,30
1996,9.615385056,0,1,30
1996,9,0,1,33
1996,9,1,1,34
1996,7.211538315,0,1,34
1996,9.615385056,0,0,33
1996,7.276507378,0,1,29
1996,12.98076916,1,0,32
1996,5.769230843,0,1,29
1996,12.01923084,0,0,27
1996,24.03846169,1,0,34
1996,15.38461494,0,0,31
1996,6.593406677,0,1,34
1996,11.05769253,0,0,26
1996,14.42307663,0,0,31
1996,9.985207558,0,1,34
1996,24.03846169,1,0,33
1996,12.01923084,0,0,27
1996,8.204944611,1,1,29
1996,13.67521381,1,1,34
1996,17.67151833,1,1,31
1996,15.03496456,1,0,33
1996,11.90476227,0,1,33
1996,18.26922989,1,0,31
1996,6.604506493,0,0,28
1996,11.21794891,1,1,27
1996,12.01923084,0,0,27
1996,31.19658089,1,0,30
1996,20.67307663,1,0,31
1996,14.42307663,0,0,33
1996,24.03846169,1,1,31
1996,12.01923084,1,1,28
1996,10.68376064,0,1,26
1996,14.42307663,0,1,29
1996,16.66666603,0,0,31
1996,16.82692337,1,1,32
1996,17.09401703,1,0,31
1996,25.64102554,1,1,30
1996,13.46153831,0,0,26
1996,18.26922989,1,0,28
1996,14.28571415,0,0,27
1996,14.73734856,1,0,28
1996,12.01923084,0,0,31
1996,5.769230843,0,0,30
1996,10,0,1,32
1996,20.19230843,0,0,32
1996,11.53846169,0,1,30
1996,16.36661148,1,0,29
1996,19.42307663,0,0,34
1996,10.09615421,0,1,31
1996,23.84615326,1,0,34
1996,23.07692337,0,0,28
1996,11.96581173,1,1,26
1996,7.692307472,0,1,26
1996,13.93872547,1,0,33
1996,12.86538506,1,1,27
1996,22.22222137,1,0,33
1996,13.24786282,1,1,34
1996,18.75,0,0,29
1996,15.66923046,1,0,32
1996,4.25,0,0,31
1996,1.67403841,0,1,32
1996,15,0,0,33
1996,6.25,0,1,30
1996,10.57692337,0,1,27
1996,17.78846169,0,0,32
1996,7.462686539,1,1,30
1996,6.293706417,1,0,30
1996,10.09615421,0,0,29
1996,18.28711891,0,1,29
1996,6.624000072,1,1,25
1996,12.63990402,0,1,28
1996,7.403846264,0,1,29
1996,12.82083321,0,0,31
1996,15.03496456,0,1,28
1996,7.5,0,0,30
1996,20.0009613,0,0,29
1996,17.5009613,1,1,31
1996,7.692307472,0,0,25
1996,22.11538506,0,0,33
1996,7.949999809,0,0,29
1996,10.81730747,1,1,27
1996,22.55917168,1,0,31
1996,12.39316273,1,1,28
1996,9.340659142,0,1,26
1996,10.57692337,0,1,34
1996,4.945055008,0,0,30
1996,16.10577011,1,0,29
1996,21.63461494,1,0,26
1996,9.615385056,1,1,27
1996,10.57692337,1,1,31
1996,9.615385056,0,1,33
1996,5.288461685,0,1,32
1996,10.09615421,0,0,27
1996,7.5,0,0,28
1996,12.73148155,1,1,33
1996,14.9572649,1,1,32
1996,18.46153831,1,0,28
1996,21.53846169,1,0,27
1996,10.39500999,0,1,31
1996,15.33653831,1,1,33
1996,11.32478619,1,1,27
1996,10,1,0,28
1996,20.19230843,1,1,32
1996,9.615385056,0,0,33
1996,15.38461494,0,0,34
1996,13.75,1,1,30
1996,19.23077011,1,0,27
1996,15.73426533,1,0,31
1996,10.57692337,0,1,29
1996,15.68825912,1,0,33
1996,24.03846169,1,0,32
1996,9.615385056,1,1,29
1996,11.53846169,0,0,32
1996,14.42307663,0,1,34
1996,21.36752129,1,0,32
1996,15.38461494,1,1,31
1996,27.66439819,1,0,30
1996,19.23077011,1,0,29
1996,17.30769157,1,0,27
1996,7.43589735,0,0,32
1996,19.23077011,1,0,31
1996,11.75213718,0,1,29
1996,4.807692528,0,1,33
1996,9.600000381,0,0,27
1996,12.5,1,1,26
1996,16.82692337,1,0,30
1996,19.23077011,1,1,29
1996,7.051281929,0,0,32
1996,4.807692528,0,1,32
1996,16.49038506,1,0,27
1996,16.82692337,1,0,28
1996,10.57692337,1,1,27
1996,14.28571415,0,1,28
1996,7.692307472,0,0,25
1996,20.32966995,1,0,28
1996,5,0,1,28
1996,13.94230747,0,1,26
1996,12.5,0,1,25
1996,7.211538315,0,1,25
1996,12.98076916,1,1,31
1996,17.78846169,0,1,31
1996,16.82692337,1,1,28
1996,19.17582512,1,1,34
1996,8.75,0,0,26
1996,5.714285851,0,1,33
1996,14.90384579,1,1,33
1996,12.01923084,0,1,25
1996,7.211538315,1,1,26
1996,17.48251724,1,1,25
1996,42.30769348,1,0,27
1996,4.230769157,0,0,31
1996,8.750769615,0,0,32
1996,36.05769348,1,1,26
1996,7.988165855,0,1,31
1996,24.03846169,1,0,28
1996,25.48077011,1,0,34
1996,32.21154022,0,0,34
1996,21.15384674,1,0,28
1996,9.615385056,1,1,27
1996,5.142857075,0,1,26
1996,8.653845787,0,0,31
1996,12.01923084,1,0,25
1996,11.53846169,0,0,26
1996,4.936538696,0,0,25
1996,13.31360912,1,0,34
1996,33.78378296,1,1,33
1996,13.46153831,1,0,26
1996,13.46153831,1,1,27
1996,18.28711891,0,1,30
1996,15.625,1,1,26
1996,7.127192974,0,0,27
1996,11.37026215,1,0,26
1996,9.615385056,1,0,31
1996,8.547008514,1,1,26
1996,11.21794891,0,0,31
1996,19.23077011,1,1,32
1996,50.96154022,1,0,31
1996,9.615385056,0,0,31
1996,10.98901081,0,0,25
1996,32.21154022,0,0,31
1996,3.619909525,0,0,25
1996,5,0,0,28
1996,6.25,0,1,32
1996,12.5,0,0,31
1996,10.36923122,0,0,29
1996,12.01923084,1,1,32
1996,4.807692528,0,1,30
1996,15.18218613,1,1,27
1996,18.75,1,0,33
1996,14.42307663,0,0,32
1996,2.403846264,0,1,29
1996,5,0,0,30
1996,12.98076916,0,0,25
1996,19.23077011,0,0,28
1996,12.01923084,1,1,33
1996,2.692307711,0,0,32
1996,7.142857075,1,1,28
1996,4.786324978,0,0,27
1996,17.30769157,1,0,25
1996,48.07692337,1,0,26
1996,2.261904716,0,0,25
1996,8.403845787,1,1,27
